iter	Passed	Remaining
0	1	112
1	1	84
2	2	69
3	2	66
4	3	63
5	3	60
6	4	58
7	4	57
8	5	56
9	6	54
10	6	53
11	7	52
12	7	51
13	8	50
14	8	50
15	9	49
16	10	48
17	10	48
18	11	47
19	11	47
20	12	48
21	13	48
22	14	47
23	15	47
24	15	46
25	16	46
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	20	40
33	20	40
34	21	39
35	21	38
36	22	37
37	22	37
38	23	36
39	23	35
40	24	35
41	25	34
42	25	33
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	35	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	42	15
73	43	15
74	43	14
75	44	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	11
81	47	10
82	47	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	51	5
90	52	5
91	52	4
92	53	4
93	53	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
