iter	Logloss
0	0.6809998764
1	0.6690039678
2	0.6580698423
3	0.6477930503
4	0.6375074836
5	0.6273440289
6	0.6175304685
7	0.6094106326
8	0.6002202079
9	0.5911432851
10	0.5821379641
11	0.5737466901
12	0.5650388363
13	0.5576594197
14	0.5495663207
15	0.5420951896
16	0.5347900532
17	0.5275598713
18	0.5199702841
19	0.5132315312
20	0.5063529299
21	0.5002387179
22	0.4936824671
23	0.4871463108
24	0.4810210092
25	0.4752342258
26	0.4697066267
27	0.4642354223
28	0.4592324747
29	0.4538690726
30	0.4481064306
31	0.4429421669
32	0.4379432076
33	0.4333689306
34	0.4286151577
35	0.4241503979
36	0.4199717406
37	0.415843528
38	0.4117191366
39	0.4078144748
40	0.4037465983
41	0.3997674013
42	0.3959899258
43	0.3922191491
44	0.3883975364
45	0.3850631727
46	0.3811577492
47	0.3775752783
48	0.3745390352
49	0.3712910105
50	0.3679434374
51	0.365163036
52	0.3624359252
53	0.3596709589
54	0.3569569647
55	0.3542880984
56	0.3518977366
57	0.3490112418
58	0.3461559433
59	0.3434296566
60	0.3412508985
61	0.3394175652
62	0.337545027
63	0.3353676279
64	0.333343612
65	0.3308558993
66	0.3281814244
67	0.3259253949
68	0.3241151018
69	0.3223188255
70	0.3204532895
71	0.3185118747
72	0.3161789959
73	0.3142868488
74	0.3124808756
75	0.3107125464
76	0.3087198925
77	0.3073299054
78	0.3055700973
79	0.3043813106
80	0.3028514071
81	0.3017232569
82	0.3005229055
83	0.2992189518
84	0.2980501754
85	0.2967174311
86	0.2952708125
87	0.2939169607
88	0.2927038055
89	0.2913958656
90	0.2903444686
91	0.2892287
92	0.288371361
93	0.2874217646
94	0.2863053248
95	0.2851266297
96	0.2840367815
97	0.2830452619
98	0.2820886305
99	0.2814187316
100	0.2803765851
101	0.2793826667
102	0.2784701659
103	0.2777249984
104	0.2768154089
105	0.2759151699
106	0.2751836956
107	0.2744210144
108	0.2737291736
109	0.2728034414
110	0.2718663933
111	0.2711925715
112	0.2703554164
113	0.2695937988
114	0.2690065732
115	0.268338298
116	0.2675534127
117	0.2667253377
118	0.2662235424
119	0.2655538023
120	0.2649463024
121	0.2640362598
122	0.2633433597
123	0.2627278325
124	0.2618660879
125	0.2613155581
126	0.2607587988
127	0.2599304912
128	0.2593570996
129	0.2590524451
130	0.2584825422
131	0.2579658831
132	0.2575336662
133	0.2569503783
134	0.2564073198
135	0.2559928637
136	0.2556726423
137	0.2549878663
138	0.2544128267
139	0.2540492684
140	0.2536554015
141	0.2531569504
142	0.2527665954
143	0.252272926
144	0.2518678866
145	0.251471904
146	0.2508981513
147	0.2506549467
148	0.2501579658
149	0.2498560641
150	0.249484825
151	0.2491773668
152	0.24871973
153	0.248291453
154	0.2480337144
155	0.2477512201
156	0.2474647414
157	0.2471631255
158	0.247002541
159	0.2467129562
160	0.2463788356
161	0.2460126224
162	0.2457162778
163	0.245551918
164	0.2452979347
165	0.2451615345
166	0.2448602205
167	0.2446053278
168	0.2444912409
169	0.2442468314
170	0.2440213493
171	0.2437175116
172	0.2433191892
173	0.2431469659
174	0.2429025569
175	0.2427341432
176	0.2426105868
177	0.2422395272
178	0.2419234388
179	0.2416030529
180	0.2414515437
181	0.2411519264
182	0.2408270233
183	0.2404924519
184	0.2403067495
185	0.2401156638
186	0.2398008633
187	0.2395841658
188	0.239300353
189	0.2390903509
190	0.2387009331
191	0.2385286579
192	0.238177576
193	0.2378544788
194	0.2376267915
195	0.2374879169
196	0.2372934648
197	0.2368760022
198	0.2366692583
199	0.2363662205
200	0.236062417
201	0.2360138863
202	0.2359216051
203	0.2357337054
204	0.2355176768
205	0.235400325
206	0.2351029183
