iter	Passed	Remaining
0	171	171732
1	175	87343
2	178	59361
3	180	44993
4	182	36356
5	184	30586
6	186	26428
7	187	23287
8	190	20986
9	192	19093
10	194	17485
11	196	16142
12	197	14988
13	198	13989
14	200	13135
15	201	12386
16	203	11738
17	205	11219
18	207	10721
19	209	10246
20	210	9811
21	211	9408
22	212	9046
23	214	8715
24	215	8410
25	216	8119
26	217	7851
27	220	7653
28	222	7447
29	224	7253
30	225	7054
31	227	6869
32	228	6695
33	229	6525
34	231	6369
35	232	6222
36	234	6106
37	236	5995
38	238	5868
39	239	5745
40	240	5629
41	242	5521
42	243	5417
43	244	5318
44	246	5223
45	248	5158
46	251	5092
47	252	5009
48	253	4928
49	255	4849
50	256	4772
51	257	4695
52	261	4675
53	263	4623
54	265	4556
55	266	4493
56	268	4434
57	269	4375
58	270	4318
59	272	4262
60	273	4206
61	274	4153
62	276	4111
63	278	4071
64	279	4025
65	281	3980
66	282	3935
67	284	3892
68	285	3849
69	286	3809
70	288	3769
71	290	3745
72	292	3717
73	294	3681
74	295	3643
75	296	3608
76	298	3573
77	299	3540
78	300	3507
79	302	3473
80	303	3445
81	305	3423
82	307	3402
83	309	3372
84	310	3343
85	311	3315
86	313	3287
87	314	3260
88	315	3234
89	317	3208
90	318	3184
91	321	3175
92	323	3150
93	324	3127
94	325	3104
95	327	3081
96	328	3059
97	330	3037
98	331	3016
99	332	2992
100	334	2973
101	336	2958
102	337	2941
103	339	2921
104	340	2902
105	341	2883
106	343	2862
107	344	2844
108	345	2825
109	347	2807
110	348	2790
111	349	2773
112	352	2764
113	353	2748
114	355	2732
115	356	2715
116	357	2699
117	359	2683
118	360	2666
119	361	2651
120	362	2636
121	364	2622
122	366	2614
123	368	2602
124	369	2588
125	371	2574
126	372	2561
127	373	2547
128	375	2534
129	376	2519
130	377	2506
131	379	2493
132	380	2480
133	382	2470
134	383	2458
135	384	2445
136	386	2432
137	387	2420
138	388	2408
139	389	2395
140	391	2383
141	392	2371
142	393	2360
143	395	2349
144	396	2339
145	398	2329
146	399	2318
147	400	2307
148	402	2296
149	403	2286
150	404	2275
151	406	2265
152	407	2255
153	408	2245
154	409	2234
155	411	2225
156	413	2217
157	414	2209
158	415	2198
159	416	2188
160	418	2181
161	420	2172
162	421	2163
163	422	2153
164	423	2145
165	424	2135
166	426	2127
167	427	2119
168	429	2112
169	430	2103
170	432	2094
